"Eid","Ename","Experience","Total_projects","Rating","Area_of_Interest_1","Area_of_Interest_2","Area_of_Interest_3","Language1","Language2","Language3","AI_project_count","ML_project_count","JS_project_count","Java_project_count","DotNet_project_count","Mobile_project_count","Designation","Python","Machine Learning","Deep Learning","Data Analysis","Asp.Net","Ado.Net","VB.Net","C#","Java","Spring Boot","Hibernate","NLP","CV","JS","React","Node","Angular","Dart","Flutter","Vb.Net"
130,"Debbie Pulver",7,5,0.7,"Mobile","Machine Learning","Java","English","Kannada","Hindi",2,1,0,0,1,1,"Programmer-3",3,3,3,3,1,1,0,1,1,1,1,1,1,1,0,0,0,4,4,1
131,"Jean Blow",9,11,1.2,"AI","DotNet","Mobile","English","Malayalam","Chinese",4,3,2,0,2,0,"Team Lead",1,1,1,1,3,3,0,3,1,0,0,4,4,1,1,1,1,1,1,3
132,"John Lebarron",6,10,1.7,"AI","Mobile","JS","English","Chinese","Tamil",2,2,3,1,2,0,"Deployment-2",1,1,1,1,1,1,0,1,1,1,1,4,4,2,2,2,2,1,1,1
133,"Barbara Washington",17,25,1.5,"Java","Mobile","AI","English","Chinese","Tamil",6,5,4,4,1,5,"Team Lead",1,1,1,1,1,1,0,1,4,4,4,2,2,1,1,1,1,3,3,1
134,"Michele Garguilo",2,8,4,"JS","Mobile","Java","English","Tamil","Japenese",1,3,2,0,2,0,"Programmer-2",1,1,1,1,1,1,0,1,1,1,1,1,1,4,4,4,4,1,1,1
135,"Erick Shaw",2,7,3.5,"Machine Learning","Java","JS","English","Malayalam","Chinese",0,3,0,1,2,1,"Programmer-2",4,4,4,4,1,1,0,1,3,3,3,0,0,1,1,1,1,1,1,1
136,"Tiffany Secrest",15,8,0.5,"Java","JS","DotNet","English","Telugu","Malayalam",0,2,2,3,1,0,"Programmer-3",1,1,1,1,2,2,0,2,4,4,4,0,0,3,3,3,3,0,0,2
137,"Daniel Roberge",14,5,0.4,"AI","Machine Learning","JS","English","Malayalam","Japenese",0,1,3,0,0,1,"Deployment-2",3,3,3,3,0,0,0,1,1,0,0,1,1,2,2,2,2,1,1,0
138,"Jennifer Collins",19,29,1.5,"AI","JS","Machine Learning","English","Malayalam","Kannada",5,4,6,5,4,5,"Project Manager",2,2,2,2,1,1,0,1,1,1,1,4,4,3,3,3,3,1,1,1
139,"Melinda Johnson",5,4,0.8,"Machine Learning","Java","AI","English","Japenese","Kannada",0,0,3,0,1,0,"Programmer-3",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1
140,"Tami Williams",6,7,1.2,"Mobile","AI","Machine Learning","English","Hindi","Chinese",1,1,0,3,1,1,"Programmer-2",2,2,2,2,1,1,0,1,1,1,1,3,3,1,0,0,0,4,4,1
141,"Clyde Young",8,11,1.4,"Java","JS","AI","English","Tamil","Japenese",2,0,3,5,0,1,"Deployment-1",1,0,0,0,0,0,0,1,4,4,4,2,2,3,3,3,3,1,1,0
142,"Brian Vaughan",20,28,1.4,"DotNet","Mobile","Java","English","Chinese","Kannada",4,3,3,7,5,6,"Team Lead",1,1,1,1,4,4,0,4,2,2,2,1,1,1,1,1,1,3,3,4
143,"Donna Morgia",18,29,1.6,"DotNet","JS","Mobile","English","Kannada","Japenese",4,5,6,5,6,3,"Project Manager",1,1,1,1,4,4,0,4,1,1,1,1,1,3,3,3,3,2,2,4
144,"Louise Woody",22,16,0.7,"Mobile","Java","AI","English","Japenese","Malayalam",5,2,1,2,4,2,"Deployment-1",1,1,1,1,1,1,0,1,3,3,3,2,2,1,1,1,1,4,4,1
145,"Rose Kelly",6,5,0.8,"AI","Machine Learning","Mobile","English","Kannada","Telugu",1,1,0,0,2,1,"Programmer-3",3,3,3,3,1,1,0,1,1,0,0,4,4,1,0,0,0,2,2,1
146,"Lucy Montoya",11,12,1.1,"Mobile","AI","JS","English","Kannada","Telugu",2,2,3,0,3,2,"Team Lead",1,1,1,1,1,1,0,1,1,0,0,3,3,2,2,2,2,4,4,1
147,"Heather Martinez",3,5,1.7,"Machine Learning","AI","Mobile","English","Malayalam","Chinese",1,1,2,1,0,0,"Programmer-2",4,4,4,4,0,0,0,1,1,1,1,3,3,1,1,1,1,1,1,0
148,"Estelle Lamm",3,3,1,"Java","JS","DotNet","English","Kannada","Telugu",0,1,2,0,0,0,"Programmer-3",1,1,1,1,1,1,0,1,1,1,1,0,0,3,3,3,3,0,0,1
149,"William Champion",5,4,0.8,"Mobile","Java","AI","English","Tamil","Hindi",1,0,0,1,2,0,"Programmer-3",1,0,0,0,1,1,0,1,3,3,3,2,2,1,0,0,0,1,1,1
150,"Theron Degennaro",21,28,1.3,"Mobile","Java","JS","English","Kannada","Chinese",1,6,3,8,2,8,"Team Lead",1,1,1,1,1,1,0,1,3,3,3,1,1,2,2,2,2,4,4,1
151,"Jeff Applebee",17,25,1.5,"Mobile","JS","Machine Learning","English","Tamil","Hindi",5,3,3,4,7,3,"Team Lead",2,2,2,2,1,1,0,1,1,1,1,1,1,3,3,3,3,4,4,1
152,"Cecilia Dale",23,22,1,"Java","DotNet","Mobile","English","Telugu","Malayalam",0,3,6,6,4,3,"Deployment-1",1,1,1,1,3,3,0,3,4,4,4,0,0,1,1,1,1,2,2,3
153,"John Ervin",24,27,1.1,"Mobile","Java","JS","English","Japenese","Hindi",3,5,5,3,5,6,"Team Lead",1,1,1,1,1,1,0,1,3,3,3,1,1,2,2,2,2,4,4,1
154,"Earl Wood",9,11,1.2,"Java","Machine Learning","DotNet","English","Chinese","Malayalam",1,1,2,2,5,0,"Team Lead",3,3,3,3,2,2,0,2,4,4,4,1,1,1,1,1,1,0,0,2
155,"Jeromy Muriel",7,5,0.7,"Java","AI","DotNet","English","Kannada","Hindi",1,1,0,1,1,1,"Programmer-3",1,1,1,1,2,2,0,2,4,4,4,3,3,1,0,0,0,1,1,2
156,"Beryl Rogers",3,5,1.7,"Mobile","AI","JS","English","Japenese","Chinese",2,0,1,1,0,1,"Programmer-2",1,0,0,0,0,0,0,1,1,1,1,3,3,2,2,2,2,4,4,0
157,"Hope Hicks",5,7,1.4,"DotNet","AI","Machine Learning","English","Kannada","Malayalam",1,4,0,0,1,1,"Programmer-2",2,2,2,2,4,4,0,4,1,0,0,3,3,1,0,0,0,1,1,4
158,"Cora Jones",23,18,0.8,"JS","Mobile","DotNet","English","Tamil","Malayalam",4,3,1,5,2,3,"Deployment-1",1,1,1,1,2,2,0,2,1,1,1,1,1,4,4,4,4,3,3,2
159,"Reuben Sparks",15,8,0.5,"Java","Machine Learning","AI","English","Malayalam","Tamil",2,1,2,2,0,1,"Programmer-3",3,3,3,3,0,0,0,1,4,4,4,2,2,1,1,1,1,1,1,0
160,"Stacia Aita",16,23,1.4,"Mobile","Machine Learning","AI","English","Japenese","Tamil",6,6,5,2,4,0,"Team Lead",3,3,3,3,1,1,0,1,1,1,1,2,2,1,1,1,1,1,1,1
161,"Yolanda Kramer",15,17,1.1,"Mobile","Java","DotNet","English","Chinese","Kannada",5,6,1,0,3,2,"Team Lead",1,1,1,1,2,2,0,2,1,1,1,1,1,1,1,1,1,4,4,2
162,"Tracy Houston",5,6,1.2,"JS","Machine Learning","AI","English","Hindi","Chinese",2,1,0,1,1,1,"Programmer-2",3,3,3,3,1,1,0,1,1,1,1,2,2,1,1,1,1,1,1,1
163,"David Berry",13,16,1.2,"AI","Mobile","Machine Learning","English","Tamil","Malayalam",2,3,3,2,5,1,"Team Lead",2,2,2,2,1,1,0,1,1,1,1,4,4,1,1,1,1,3,3,1
164,"Willis Ingram",4,9,2.3,"JS","Java","Machine Learning","English","Hindi","Japenese",0,0,3,4,1,1,"Programmer-2",1,1,1,1,1,1,0,1,3,3,3,0,0,4,4,4,4,1,1,1
165,"Justin Scott",6,19,3.2,"Java","AI","DotNet","English","Telugu","Japenese",4,4,2,3,2,4,"Programmer-1",1,1,1,1,2,2,0,2,4,4,4,3,3,1,1,1,1,1,1,2
166,"Wade Gass",3,5,1.7,"Machine Learning","Java","JS","English","Kannada","Chinese",0,0,1,1,2,1,"Programmer-2",1,1,1,1,1,1,0,1,3,3,3,0,0,2,2,2,2,1,1,1
167,"Bobby Fields",11,13,1.2,"AI","Java","JS","English","Tamil","Telugu",4,1,1,2,1,4,"Team Lead",1,1,1,1,1,1,0,1,3,3,3,4,4,2,2,2,2,1,1,1
168,"Jacob Crouch",13,16,1.2,"Java","Machine Learning","AI","English","Hindi","Chinese",1,4,3,2,4,2,"Team Lead",3,3,3,3,1,1,0,1,4,4,4,2,2,1,1,1,1,1,1,1
169,"Daniel Arvizu",19,26,1.4,"AI","Mobile","Machine Learning","English","Chinese","Tamil",5,3,6,8,4,0,"Team Lead",2,2,2,2,1,1,0,1,1,1,1,4,4,1,1,1,1,1,1,1
170,"Scott Brown",20,15,0.8,"Mobile","AI","DotNet","English","Japenese","Chinese",2,4,1,7,1,0,"Deployment-1",1,1,1,1,2,2,0,2,1,1,1,3,3,1,1,1,1,1,1,2
171,"Donna Goddard",8,19,2.4,"Java","Machine Learning","JS","English","Tamil","Malayalam",4,3,2,1,6,3,"Programmer-1",3,3,3,3,1,1,0,1,4,4,4,1,1,2,2,2,2,1,1,1
172,"Larry Jensen",23,28,1.2,"Mobile","DotNet","JS","English","Tamil","Telugu",2,7,8,7,4,0,"Team Lead",1,1,1,1,3,3,0,3,1,1,1,1,1,2,2,2,2,1,1,3
173,"Susan Carrillo",5,4,0.8,"AI","JS","Machine Learning","English","Tamil","Kannada",1,1,0,2,0,0,"Programmer-3",2,2,2,2,0,0,0,1,1,1,1,4,4,1,1,1,1,0,0,0
174,"Edward Gonzalez",6,9,1.5,"DotNet","AI","Machine Learning","English","Chinese","Malayalam",2,1,1,2,2,1,"Programmer-2",2,2,2,2,4,4,0,4,1,1,1,3,3,1,1,1,1,1,1,4
175,"Carmen Brock",23,20,0.9,"Mobile","JS","DotNet","English","Malayalam","Telugu",6,0,5,3,4,2,"Deployment-1",1,0,0,0,2,2,0,2,1,1,1,1,1,3,3,3,3,4,4,2
176,"Dan Christian",4,4,1,"JS","Mobile","Java","English","Hindi","Kannada",1,1,2,0,0,0,"Programmer-3",1,1,1,1,0,0,0,1,1,1,1,1,1,4,4,4,4,1,1,0
177,"Raymond Volesky",15,19,1.3,"Java","AI","Machine Learning","English","Tamil","Telugu",1,8,3,3,2,2,"Team Lead",2,2,2,2,1,1,0,1,4,4,4,3,3,1,1,1,1,1,1,1
178,"Freda Vega",14,7,0.5,"Java","AI","Machine Learning","English","Tamil","Chinese",4,2,0,0,0,1,"Testing and Debugging",2,2,2,2,0,0,0,1,1,1,1,3,3,1,0,0,0,1,1,0
179,"Benny Mendoza",11,7,0.6,"DotNet","Machine Learning","Mobile","English","Hindi","Telugu",3,2,0,1,1,0,"Programmer-3",3,3,3,3,4,4,0,4,1,1,1,1,1,1,0,0,0,1,1,4
180,"Marilyn Dec",6,17,2.8,"JS","DotNet","Mobile","English","Kannada","Chinese",0,3,4,4,5,1,"Programmer-1",1,1,1,1,3,3,0,3,1,1,1,0,0,4,4,4,4,2,2,3
181,"Christina Cable",8,14,1.8,"JS","AI","Java","English","Malayalam","Chinese",3,3,2,2,3,1,"Programmer-1",1,1,1,1,1,1,0,1,2,2,2,3,3,4,4,4,4,1,1,1
182,"Rita Sackett",4,7,1.8,"AI","DotNet","Machine Learning","English","Telugu","Tamil",2,2,1,1,1,0,"Programmer-2",2,2,2,2,3,3,0,3,1,1,1,4,4,1,1,1,1,0,0,3
183,"Mary Martins",19,16,0.8,"Machine Learning","AI","JS","English","Hindi","Tamil",3,2,3,5,3,0,"Deployment-1",4,4,4,4,1,1,0,1,1,1,1,3,3,2,2,2,2,0,0,1
184,"Natasha Wagner",11,19,1.7,"Machine Learning","AI","JS","English","Tamil","Telugu",6,3,1,2,2,5,"Team Lead",4,4,4,4,1,1,0,1,1,1,1,3,3,2,2,2,2,1,1,1
185,"Thomas Torres",7,10,1.4,"Java","Mobile","Machine Learning","English","Malayalam","Kannada",3,0,2,2,3,0,"Deployment-1",1,1,1,1,1,1,0,1,4,4,4,1,1,1,1,1,1,1,1,1
186,"Larry Jopling",21,18,0.9,"JS","AI","DotNet","English","Chinese","Telugu",7,4,1,1,2,3,"Deployment-2",1,1,1,1,2,2,0,2,1,1,1,3,3,4,4,4,4,1,1,2
187,"Mable Billiot",4,9,2.3,"DotNet","AI","Machine Learning","English","Malayalam","Tamil",0,1,6,2,0,0,"Programmer-2",2,2,2,2,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1
188,"James Williams",8,17,2.1,"Machine Learning","Mobile","JS","English","Japenese","Telugu",3,1,3,4,3,3,"Programmer-1",4,4,4,4,1,1,0,1,1,1,1,1,1,2,2,2,2,3,3,1
189,"Robin West",18,22,1.2,"DotNet","Mobile","JS","English","Chinese","Hindi",7,4,2,3,4,2,"Team Lead",1,1,1,1,4,4,0,4,1,1,1,1,1,2,2,2,2,3,3,4
190,"Amy Meyer",16,24,1.5,"DotNet","Machine Learning","AI","English","Tamil","Malayalam",6,5,3,3,5,2,"Team Lead",3,3,3,3,4,4,0,4,1,1,1,2,2,1,1,1,1,1,1,4
191,"Sam Sanchez",13,16,1.2,"JS","DotNet","AI","English","Telugu","Tamil",2,2,2,3,4,3,"Team Lead",1,1,1,1,3,3,0,3,1,1,1,2,2,4,4,4,4,1,1,3
192,"Melissa Hernandez",17,18,1.1,"Java","DotNet","Mobile","English","Tamil","Japenese",5,3,2,2,2,4,"Team Lead",1,1,1,1,3,3,0,3,4,4,4,1,1,1,1,1,1,2,2,3
193,"Jessica Montgomery",22,23,1,"Java","DotNet","Machine Learning","English","Telugu","Kannada",5,2,3,4,5,4,"Team Lead",2,2,2,2,3,3,0,3,4,4,4,1,1,1,1,1,1,1,1,3
194,"Latanya Brooks",7,12,1.7,"DotNet","Java","Machine Learning","English","Kannada","Hindi",5,0,0,3,3,1,"Programmer-1",1,1,1,1,4,4,0,4,3,3,3,1,1,1,0,0,0,1,1,4
195,"Latonya Bradley",18,29,1.6,"JS","DotNet","Java","English","Kannada","Chinese",3,2,3,8,7,6,"Project Manager",1,1,1,1,3,3,0,3,2,2,2,1,1,4,4,4,4,1,1,3
196,"Johnny Garcia",15,7,0.5,"Mobile","Machine Learning","AI","English","Telugu","Japenese",1,1,4,0,0,1,"Deployment-2",3,3,3,3,0,0,0,1,1,0,0,2,2,1,1,1,1,4,4,0
197,"Gale Newell",13,17,1.3,"AI","DotNet","JS","English","Tamil","Kannada",5,3,2,4,1,2,"Team Lead",1,1,1,1,3,3,0,3,1,1,1,4,4,2,2,2,2,1,1,3
198,"Ashley Lindsay",3,7,2.3,"AI","Machine Learning","Mobile","English","Telugu","Kannada",3,3,0,0,1,0,"Programmer-2",3,3,3,3,1,1,0,1,1,0,0,4,4,1,0,0,0,1,1,1
199,"Jeffery Delisio",13,13,1,"Java","Machine Learning","JS","English","Telugu","Chinese",6,0,2,0,3,2,"Deployment-1",1,1,1,1,1,1,0,1,1,1,1,1,1,2,2,2,2,1,1,1
200,"Linda Sharp",5,8,1.6,"JS","DotNet","AI","English","Telugu","Japenese",1,2,2,1,0,2,"Programmer-2",1,1,1,1,1,1,0,1,1,1,1,2,2,4,4,4,4,1,1,1
201,"Christopher Ross",17,26,1.5,"Mobile","Java","Machine Learning","English","Hindi","Malayalam",2,9,3,1,5,6,"Project Manager",2,2,2,2,1,1,0,1,3,3,3,1,1,1,1,1,1,4,4,1
202,"Laura Canon",18,23,1.3,"Mobile","Java","DotNet","English","Hindi","Malayalam",2,7,3,1,5,5,"Team Lead",1,1,1,1,2,2,0,2,3,3,3,1,1,1,1,1,1,4,4,2
203,"Sharyn Brown",13,9,0.7,"DotNet","Java","AI","English","Chinese","Hindi",3,1,0,2,2,1,"Programmer-3",1,1,1,1,4,4,0,4,3,3,3,2,2,1,0,0,0,1,1,4
204,"Antonio Steffan",7,17,2.4,"Java","AI","DotNet","English","Telugu","Kannada",4,3,4,2,2,2,"Programmer-1",1,1,1,1,2,2,0,2,4,4,4,3,3,1,1,1,1,1,1,2
205,"Kathryn Shultz",3,5,1.7,"Mobile","Machine Learning","AI","English","Chinese","Kannada",0,2,0,2,1,0,"Programmer-2",3,3,3,3,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1
206,"John Short",12,19,1.6,"Machine Learning","DotNet","JS","English","Telugu","Japenese",6,3,0,1,6,3,"Team Lead",4,4,4,4,3,3,0,3,1,1,1,1,1,1,1,1,1,1,1,3
207,"Danielle Keister",3,9,3,"DotNet","Mobile","Java","English","Hindi","Tamil",3,2,2,0,2,0,"Programmer-2",1,1,1,1,4,4,0,4,1,1,1,1,1,1,1,1,1,1,1,4
208,"Eric Kouba",2,9,4.5,"Machine Learning","Mobile","JS","English","Hindi","Telugu",1,1,2,1,1,3,"Programmer-2",4,4,4,4,1,1,0,1,1,1,1,1,1,2,2,2,2,3,3,1
209,"Julia Stanley",20,23,1.2,"AI","JS","Mobile","English","Chinese","Malayalam",3,5,4,4,3,4,"Team Lead",1,1,1,1,1,1,0,1,1,1,1,4,4,3,3,3,3,2,2,1
210,"Basil Welker",14,11,0.8,"Mobile","AI","JS","English","Kannada","Chinese",1,1,4,3,2,0,"Deployment-1",1,1,1,1,1,1,0,1,1,1,1,3,3,2,2,2,2,1,1,1
211,"Nicholas Rondeau",12,12,1,"JS","AI","Java","English","Malayalam","Japenese",3,4,1,2,2,0,"Testing and Debugging",1,1,1,1,1,1,0,1,2,2,2,3,3,4,4,4,4,0,0,1
212,"Andre Hughes",6,16,2.7,"Machine Learning","AI","DotNet","English","Hindi","Chinese",3,1,3,6,1,2,"Programmer-1",4,4,4,4,2,2,0,2,1,1,1,3,3,1,1,1,1,1,1,2
213,"Celeste Cunningham",17,29,1.7,"DotNet","JS","Java","English","Chinese","Kannada",2,7,6,8,4,2,"Project Manager",1,1,1,1,4,4,0,4,2,2,2,1,1,3,3,3,3,1,1,4
214,"Christine Lara",5,8,1.6,"Java","AI","JS","English","Japenese","Telugu",2,2,1,1,2,0,"Programmer-2",1,1,1,1,1,1,0,1,4,4,4,3,3,2,2,2,2,0,0,1
215,"Lara Stancil",8,5,0.6,"Machine Learning","AI","DotNet","English","Malayalam","Telugu",0,3,1,0,1,0,"Programmer-3",4,4,4,4,2,2,0,2,1,0,0,1,1,1,1,1,1,0,0,2
216,"Cynthia Contreras",12,14,1.2,"AI","Java","DotNet","English","Chinese","Tamil",4,2,3,4,1,0,"Team Lead",1,1,1,1,2,2,0,2,3,3,3,4,4,1,1,1,1,0,0,2
217,"Jovita Golden",22,21,1,"JS","Java","DotNet","English","Tamil","Chinese",6,3,2,7,1,2,"Deployment-1",1,1,1,1,2,2,0,2,3,3,3,1,1,4,4,4,4,1,1,2
218,"Karen Wood",13,8,0.6,"DotNet","Machine Learning","Java","English","Japenese","Malayalam",1,0,3,2,1,1,"Programmer-3",1,1,1,1,4,4,0,4,2,2,2,1,1,1,1,1,1,1,1,4
219,"Tony Yoakum",17,28,1.6,"AI","Mobile","JS","English","Telugu","Malayalam",3,3,5,4,7,6,"Project Manager",1,1,1,1,1,1,0,1,1,1,1,4,4,2,2,2,2,3,3,1
220,"Bobby Horner",14,18,1.3,"AI","DotNet","Java","English","Tamil","Telugu",4,4,1,4,1,4,"Team Lead",1,1,1,1,3,3,0,3,2,2,2,4,4,1,1,1,1,1,1,3
221,"Christopher Farnam",13,15,1.2,"Machine Learning","JS","Java","English","Kannada","Japenese",3,2,3,2,1,4,"Team Lead",4,4,4,4,1,1,0,1,2,2,2,1,1,3,3,3,3,1,1,1
222,"Tonya Nelson",21,28,1.3,"Machine Learning","DotNet","JS","English","Kannada","Japenese",10,6,5,4,1,2,"Team Lead",4,4,4,4,3,3,0,3,1,1,1,1,1,2,2,2,2,1,1,3
223,"Rita Ohmen",23,20,0.9,"Mobile","JS","DotNet","English","Tamil","Hindi",3,2,2,0,8,5,"Deployment-1",1,1,1,1,2,2,0,2,1,0,0,1,1,3,3,3,3,4,4,2
224,"Jerry Brown",8,6,0.8,"Mobile","DotNet","JS","English","Chinese","Hindi",2,0,0,0,1,3,"Programmer-3",1,0,0,0,3,3,0,3,1,0,0,1,1,1,1,1,1,4,4,3
225,"Mary Jones",18,23,1.3,"JS","Machine Learning","AI","English","Tamil","Japenese",2,5,0,6,4,6,"Team Lead",3,3,3,3,1,1,0,1,1,1,1,2,2,1,1,1,1,1,1,1
226,"Ileana Adams",23,17,0.7,"Machine Learning","JS","Mobile","English","Chinese","Japenese",3,3,4,3,3,1,"Deployment-1",4,4,4,4,1,1,0,1,1,1,1,1,1,3,3,3,3,2,2,1
227,"Sandra Byrd",19,25,1.3,"Java","DotNet","AI","English","Kannada","Malayalam",5,5,5,5,3,2,"Team Lead",1,1,1,1,3,3,0,3,4,4,4,2,2,1,1,1,1,1,1,3
228,"Tanya Bishop",8,11,1.4,"DotNet","Java","Machine Learning","English","Kannada","Japenese",2,2,2,3,1,1,"Deployment-1",2,2,2,2,4,4,0,4,3,3,3,1,1,1,1,1,1,1,1,4
229,"Karen Ramsey",5,4,0.8,"Mobile","JS","Machine Learning","English","Kannada","Tamil",0,2,0,2,0,0,"Programmer-3",2,2,2,2,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,0
230,"Daniel Somers",20,22,1.1,"Machine Learning","Mobile","DotNet","English","Telugu","Kannada",2,0,7,9,3,1,"Team Lead",1,1,1,1,2,2,0,2,1,1,1,1,1,1,1,1,1,3,3,2
231,"Melissa Ramirez",13,17,1.3,"Mobile","JS","Java","English","Japenese","Tamil",4,2,3,3,3,2,"Team Lead",1,1,1,1,1,1,0,1,2,2,2,1,1,3,3,3,3,4,4,1
232,"Robert Conover",24,24,1,"Java","Machine Learning","JS","English","Hindi","Malayalam",6,4,3,4,3,4,"Deployment-1",3,3,3,3,1,1,0,1,4,4,4,1,1,2,2,2,2,1,1,1
233,"Earle Nehring",10,17,1.7,"Machine Learning","Mobile","Java","English","Kannada","Japenese",2,2,2,5,3,3,"Team Lead",4,4,4,4,1,1,0,1,2,2,2,1,1,1,1,1,1,3,3,1
234,"Margaret Wilhelm",24,29,1.2,"JS","AI","DotNet","English","Chinese","Hindi",3,6,9,5,6,0,"Team Lead",1,1,1,1,2,2,0,2,1,1,1,3,3,4,4,4,4,0,0,2
235,"Paul Kennon",5,5,1,"Java","Mobile","AI","English","Tamil","Malayalam",0,1,1,1,2,0,"Programmer-3",1,1,1,1,1,1,0,1,4,4,4,1,1,1,1,1,1,1,1,1
236,"Sharon Evans",8,17,2.1,"Mobile","Java","Machine Learning","English","Hindi","Japenese",6,1,2,3,5,0,"Programmer-1",2,2,2,2,1,1,0,1,3,3,3,1,1,1,1,1,1,1,1,1
237,"Gregory Pickett",5,3,0.6,"DotNet","Mobile","AI","English","Telugu","Japenese",0,1,2,0,0,0,"Programmer-3",1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1
238,"Kay Thomas",20,24,1.2,"Java","Mobile","DotNet","English","Telugu","Malayalam",2,6,4,4,3,5,"Team Lead",1,1,1,1,2,2,0,2,4,4,4,1,1,1,1,1,1,3,3,2
239,"Gwendolyn Barrow",17,28,1.6,"Machine Learning","AI","Mobile","English","Japenese","Tamil",4,6,4,4,6,4,"Project Manager",4,4,4,4,1,1,0,1,1,1,1,3,3,1,1,1,1,2,2,1
240,"Ronald Smith",19,21,1.1,"DotNet","Mobile","AI","English","Hindi","Tamil",4,3,5,3,4,2,"Team Lead",1,1,1,1,4,4,0,4,1,1,1,2,2,1,1,1,1,3,3,4
241,"Robert Kelsey",23,25,1.1,"DotNet","Machine Learning","AI","English","Chinese","Malayalam",4,3,2,7,6,3,"Team Lead",3,3,3,3,4,4,0,4,1,1,1,2,2,1,1,1,1,1,1,4
242,"Anthony Mooney",12,14,1.2,"Mobile","JS","Java","English","Chinese","Tamil",4,4,1,0,1,4,"Team Lead",1,1,1,1,1,1,0,1,1,1,1,1,1,3,3,3,3,4,4,1
243,"Dixie Medina",21,20,1,"AI","Mobile","Machine Learning","English","Japenese","Tamil",5,6,3,1,2,3,"Deployment-2",2,2,2,2,1,1,0,1,1,1,1,4,4,1,1,1,1,3,3,1
244,"Beth Ebert",11,8,0.7,"Mobile","Java","JS","English","Malayalam","Tamil",2,1,1,1,1,2,"Programmer-3",1,1,1,1,1,1,0,1,3,3,3,1,1,2,2,2,2,4,4,1
245,"George Thomas",21,17,0.8,"Java","Machine Learning","DotNet","English","Malayalam","Kannada",4,3,1,2,2,5,"Deployment-2",3,3,3,3,2,2,0,2,4,4,4,1,1,1,1,1,1,1,1,2
246,"Joseph Gunderson",21,25,1.2,"Machine Learning","AI","Java","English","Chinese","Japenese",3,5,4,4,8,1,"Team Lead",4,4,4,4,1,1,0,1,2,2,2,3,3,1,1,1,1,1,1,1
247,"John Davis",3,7,2.3,"AI","Machine Learning","Mobile","English","Kannada","Telugu",3,2,0,1,0,1,"Programmer-2",3,3,3,3,0,0,0,1,1,1,1,4,4,1,0,0,0,2,2,0
248,"Paul Gray",9,7,0.8,"JS","AI","DotNet","English","Hindi","Telugu",3,2,0,1,0,1,"Programmer-3",1,1,1,1,1,1,0,1,1,1,1,3,3,1,1,1,1,1,1,1
249,"Susan Brown",23,15,0.7,"AI","DotNet","JS","English","Malayalam","Telugu",3,2,3,5,0,2,"Deployment-1",1,1,1,1,1,1,0,1,1,1,1,4,4,2,2,2,2,1,1,1
250,"Charles Merriweather",14,12,0.9,"Machine Learning","Mobile","DotNet","English","Malayalam","Chinese",5,1,0,4,1,1,"Deployment-1",4,4,4,4,2,2,0,2,1,1,1,1,1,1,0,0,0,3,3,2
251,"Joan Swenson",19,29,1.5,"Machine Learning","JS","Mobile","English","Hindi","Telugu",6,1,10,3,8,1,"Project Manager",4,4,4,4,1,1,0,1,1,1,1,1,1,3,3,3,3,2,2,1
252,"Robert Vallejo",18,27,1.5,"Mobile","Machine Learning","DotNet","English","Chinese","Kannada",6,4,4,5,3,5,"Team Lead",3,3,3,3,2,2,0,2,1,1,1,1,1,1,1,1,1,4,4,2
253,"Oliver Lark",11,7,0.6,"Mobile","Java","JS","English","Hindi","Telugu",2,1,1,1,2,0,"Programmer-3",1,1,1,1,1,1,0,1,3,3,3,1,1,2,2,2,2,1,1,1
254,"Maurice Anderson",24,29,1.2,"DotNet","Java","Machine Learning","English","Malayalam","Telugu",6,5,7,2,4,5,"Team Lead",2,2,2,2,4,4,0,4,3,3,3,1,1,1,1,1,1,1,1,4
255,"Charles Bravo",11,10,0.9,"Machine Learning","DotNet","Mobile","English","Japenese","Hindi",0,2,2,2,2,2,"Testing and Debugging",4,4,4,4,3,3,0,3,1,1,1,0,0,1,1,1,1,2,2,3
256,"Rachel Hunsberger",5,7,1.4,"DotNet","JS","Java","English","Chinese","Hindi",2,0,0,1,2,2,"Programmer-2",1,0,0,0,4,4,0,4,2,2,2,1,1,1,1,1,1,1,1,4
257,"Rita Sawyer",8,9,1.1,"DotNet","JS","Mobile","English","Chinese","Malayalam",2,3,2,2,0,0,"Programmer-2",1,1,1,1,1,1,0,1,1,1,1,1,1,3,3,3,3,1,1,1
258,"Ruby Bunch",23,26,1.1,"DotNet","Machine Learning","JS","English","Kannada","Malayalam",9,6,5,2,3,1,"Team Lead",3,3,3,3,4,4,0,4,1,1,1,1,1,2,2,2,2,1,1,4
259,"Gladys Sloan",7,13,1.9,"AI","Machine Learning","DotNet","English","Telugu","Chinese",1,3,0,3,4,2,"Programmer-1",3,3,3,3,2,2,0,2,1,1,1,4,4,1,0,0,0,1,1,2
260,"Leon Redd",8,12,1.5,"JS","Machine Learning","Mobile","English","Hindi","Telugu",2,3,4,1,1,1,"Deployment-2",3,3,3,3,1,1,0,1,1,1,1,1,1,4,4,4,4,2,2,1
